,precision,recall,f1-score,support
Phishing,1.0,0.34082106893880715,0.5083766608896592,1291.0
Ransomware,0.0,0.0,0.0,91.0
Malware,1.0,0.14349775784753363,0.25098039215686274,223.0
SQLInjection,1.0,0.9456869009584664,0.9720853858784894,1878.0
XSS,1.0,0.9740783410138248,0.9868689816165742,5208.0
DDoS,0.0,0.0,0.0,3.0
ZeroDay,0.9473684210526315,0.2748091603053435,0.4260355029585799,131.0
SupplyChain,0.997872340425532,0.6826783114992722,0.8107173725151253,687.0
Other,0.9538664010813118,0.9994409660107334,0.9761220107014159,26832.0
micro avg,0.9638048074782996,0.9531972265023112,0.9584716688800354,36344.0
macro avg,0.7665674625066083,0.48455694517488684,0.5479095896351897,36344.0
weighted avg,0.9631242250397313,0.9531972265023112,0.9487550127818707,36344.0
samples avg,0.958920581655481,0.9590319724086501,0.958318552253116,36344.0
